Random,Date,Hour,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverter),
0.177052584,6/8/2017,7,0.00,10,20.13,9.73,49.76,2.68,29.27,30.06,1177.75,,
0.293877369,10/1/2017,14,0.00,10,23.81,3.76,26.00,10.56,29.31,30.11,3937.75,,
0.602072098,4/30/2016,16,0.38,2.15,15.13,14.37,49.67,8.84,15.87,29.8,185.75,,
0.022867639,11/13/2016,17,0.00,10,7.04,0.84,57.12,6.44,29.31,30.1,0,,
0.009991869,5/29/2017,12,0.01,10,27.57,6.94,25.36,17.56,29.1,29.89,3883,,
0.856480622,4/2/2016,12,0.55,10,8.83,-3.13,45.08,41.56,28.91,29.7,3120,,
0.267557564,8/23/2016,9,0.00,10,23.91,18.66,70.80,9.68,29.46,30.26,2981.5,,
0.247134014,6/27/2016,8,0.00,10,27.37,20.34,64.52,7.24,29.31,30.1,2221.25,,
0.629995458,9/15/2016,16,0.25,10,27.51,18.91,57.04,6.04,29.31,30.1,1472.25,,
0.322268186,4/15/2017,12,0.62,10,26.64,13.43,44.08,22.80,29.23,30.02,4722.5,,
0.819375333,6/23/2016,14,0.01,10,28.03,15.91,47.29,10.88,29.09,29.88,4191.75,,
0.565621384,2/21/2016,14,0.90,10,9.03,3.36,70.35,14.84,29.28,30.07,2739.75,,
0.075115193,10/1/2016,10,1.00,5.89,16.58,15.30,90.43,5.71,29.24,30.03,655.5,,
0.783890274,11/27/2016,16,0.92,6.4,6.57,5.16,87.68,11.48,29.13,29.92,9.92,,
0.079536252,9/2/2017,11,0.00,10,20.38,10.81,53.56,7.76,29.26,30.05,4676,,
0.895778816,10/15/2016,7,1.00,2.17,15.95,15.87,97.23,10.18,29.31,30.1,26.98,,
0.167327001,8/30/2016,16,0.14,10,26.65,23.46,40.45,7.12,15.44,30.07,1234,,
0.748191906,10/13/2017,15,0.00,10,25.27,14.62,51.04,10.44,29.29,30.08,2807.5,,
0.114383704,3/5/2016,14,1.00,10,6.44,2.23,70.76,15.08,29.33,30.12,551.75,,
0.049306848,6/20/2017,15,0.43,10,30.02,12.63,33.56,12.72,29.12,29.91,1059.5,,
0.341902626,7/18/2017,7,0.00,10,22.02,16.67,66.60,0.20,29.29,30.08,816.75,,
0.986368833,3/9/2016,6,0.91,10,15.11,12.76,83.88,10.68,29.11,29.9,60.13,,
0.324659125,5/19/2017,14,1.00,10,14.02,12.39,91.51,13.19,29.21,30,2230.75,,
0.264049559,11/29/2016,13,0.46,10,13.80,9.80,75.64,15.84,28.77,29.55,1798.25,,
0.485181652,3/13/2016,13,1.00,9.72,16.53,15.41,91.72,6.53,28.9,29.69,941.25,,
0.535222877,10/13/2016,12,0.00,10,13.35,4.39,52.92,1.28,29.51,30.31,4720.25,,
0.629012355,4/18/2016,15,0.00,10,27.39,3.18,19.36,8.44,29.41,30.21,3432.5,,
0.194951619,1/8/2017,9,0.00,10,-13.93,-17.34,70.12,0.00,29.94,30.75,1433.75,,
0.820943172,10/25/2016,14,0.40,10,15.18,4.25,48.44,7.76,29.52,30.32,1598.5,,
0.020049777,7/6/2017,15,0.56,10,30.55,21.54,56.80,1.16,29.19,29.98,731.75,,
0.257108106,12/6/2016,7,1.00,4.55,1.58,1.07,93.82,6.41,28.95,29.74,18.93,,
0.681060719,5/3/2017,15,1.00,10,10.49,6.54,68.80,7.04,29.3,30.09,1029.25,,
0.513991344,10/12/2017,7,1.00,0.37,14.54,14.42,99.89,4.93,29.37,30.17,23.27,,
0.947940657,3/20/2016,14,1.00,10,7.19,-5.06,40.08,14.48,29.34,30.14,1401,,
0.667294728,2/25/2016,15,0.56,10,2.78,-2.08,67.96,14.08,29.27,30.06,1499,,
0.197082894,6/1/2017,6,0.00,10,16.43,8.58,53.76,1.92,29.31,30.11,334.75,,
0.81436482,6/8/2017,17,0.00,10,27.13,6.50,24.60,3.48,29.09,29.88,1947,,
0.790019884,2/14/2017,13,0.00,10,11.06,2.18,54.68,14.68,29.05,29.84,3817.75,,
0.794186067,8/26/2016,14,0.54,10,28.74,23.61,71.80,5.64,29.3,30.09,3046.5,,
0.408066618,2/23/2017,17,0.64,9.92,14.36,9.72,76.20,16.08,28.89,29.67,31.25,,
0.294754034,1/8/2017,10,0.00,10,-12.36,-17.96,57.83,0.00,29.93,30.74,2118.75,,
0.736194054,7/3/2017,6,0.38,10,22.46,18.86,75.68,0.00,29.29,30.08,84,,
0.341844135,8/4/2016,17,0.00,10,29.74,24.43,69.88,3.94,29.13,29.93,1984.25,,
0.140499068,4/10/2016,9,1.00,10,5.82,0.77,67.68,18.72,29.13,29.92,401.25,,
0.800529504,5/1/2016,17,1.00,4.79,16.32,14.60,91.22,11.65,29.09,29.88,463.25,,
0.789844617,9/17/2017,9,0.00,10,25.92,19.58,66.16,2.12,29.3,30.09,2616,,
0.209396816,4/15/2016,7,0.00,10,10.23,2.28,58.72,9.08,29.4,30.2,528.25,,
0.502818713,4/13/2017,14,0.54,10,26.18,13.41,43.36,9.80,29.36,30.16,2401,,
0.450321848,12/12/2016,13,0.44,10,-1.41,-4.75,21.74,9.72,8.53,30.11,1924,,
0.058711729,7/10/2017,15,0.79,10,31.15,23.34,62.20,17.96,29.06,29.85,3473,,
0.040099122,4/5/2016,14,0.00,10,9.27,-3.27,40.12,13.96,29.51,30.31,4270,,
0.640737103,12/16/2016,9,1.00,10,-7.17,-12.31,64.88,15.76,29.38,30.18,385.25,,
0.489139729,7/27/2016,15,0.00,10,27.98,21.70,74.00,5.00,29.15,29.97,962.75,,
0.525797026,6/19/2016,7,0.01,10,24.65,17.68,63.04,7.68,29.46,30.26,941.25,,
0.649298916,4/27/2017,7,1.00,9.14,7.97,6.57,87.47,17.57,28.81,29.59,257.75,,
0.044755728,3/16/2017,8,0.00,10,-1.73,-7.45,62.92,8.00,29.58,30.38,1576.5,,
0.126115497,11/20/2016,7,0.00,10,-4.10,-6.33,80.88,8.64,29.57,30.37,668,,
0.592517181,6/5/2016,9,1.00,10,20.35,16.44,77.60,14.04,28.97,29.76,1673.5,,
0.721675301,9/1/2016,7,0.00,10,17.95,14.71,79.80,9.04,29.34,30.13,632,,
0.08351726,1/7/2017,6,0.00,10,-18.69,-20.11,79.00,0.20,29.7,30.5,0,,
0.183174311,5/10/2017,14,0.56,10,27.01,19.02,58.32,5.76,29.07,29.86,2186,,
0.632191465,10/24/2016,7,0.00,10,8.39,7.18,87.28,7.80,29.53,30.33,157.57,,
0.582246637,11/18/2016,16,0.83,10,12.69,10.98,82.80,17.56,29.03,29.82,66.62,,
0.022783441,5/29/2016,14,0.15,10,28.85,14.42,40.64,12.48,29.26,30.05,3558.5,,
0.354949905,1/15/2017,14,0.65,7.08,1.35,-0.60,85.69,5.36,29.53,30.33,326,,
0.082773471,5/20/2016,12,1.00,10,20.04,4.85,35.04,11.88,29.29,30.08,1769.25,,
0.782590866,6/1/2017,15,0.00,10,27.34,3.60,20.56,4.72,29.25,30.04,3963,,
0.664059256,2/27/2016,9,0.00,9.84,3.11,0.17,77.32,12.44,29.28,30.07,3690.5,,
0.631141394,5/5/2016,6,1.00,10,6.28,3.76,79.16,14.28,29.13,29.92,96.38,,
0.557477005,2/27/2017,12,0.43,10,13.04,2.60,47.96,8.32,29.33,30.13,2914,,
0.701377607,3/5/2016,16,1.00,10,5.79,1.38,70.69,12.73,29.37,30.17,153.75,,
0.421444518,3/21/2016,8,0.00,10,3.63,-1.41,68.00,8.96,29.42,30.22,1560.5,,
0.519478694,10/3/2016,10,1.00,10,20.24,12.94,61.48,0.12,29.32,30.11,2249.75,,
0.881684646,7/13/2016,12,0.65,9,28.04,25.01,84.05,9.78,29.14,29.93,3094.75,,
0.046531132,5/25/2017,16,0.90,10,18.83,13.60,72.48,11.76,28.92,29.7,2753.25,,
0.284943438,4/13/2016,14,0.00,10,15.27,-0.26,33.76,5.80,29.43,30.23,3915.75,,
0.095257831,1/31/2017,14,0.15,10,5.98,0.90,71.20,17.68,29.08,29.87,1036.75,,
0.810903093,4/9/2016,7,0.00,10,-1.83,-6.87,66.32,13.40,29.43,30.23,748.25,,
0.268789371,9/23/2016,8,0.00,9.96,24.75,20.05,70.24,1.08,29.3,30.09,1604.25,,
0.371514346,3/4/2017,14,0.00,10,11.94,-1.37,39.88,12.04,29.56,30.36,3729,,
0.211428534,10/21/2016,14,0.55,10,13.47,3.91,49.72,10.12,29.34,30.13,2302.5,,
0.755989565,9/11/2016,10,0.01,10,22.00,11.72,50.92,1.72,29.44,30.24,3852.75,,
0.05477608,10/24/2017,17,1.00,9.96,6.82,5.18,89.30,13.77,29.06,29.85,48,,
0.092933606,12/11/2016,8,0.04,10,0.58,-3.65,21.54,11.76,8.52,30.02,35.25,,
0.705734126,7/6/2017,8,0.00,10,25.83,21.41,73.16,6.08,29.24,30.03,567.25,,
0.968827491,7/12/2017,16,0.01,10,31.52,26.42,73.76,2.32,29.15,29.94,1790.75,,
0.108127759,4/2/2016,6,0.70,10,1.08,-1.02,80.20,13.24,28.98,29.77,29.85,,
0.131705542,8/24/2016,10,0.99,9.04,26.25,24.55,92.56,8.64,29.23,30.02,1666.5,,
0.925481262,6/28/2016,11,0.75,10,23.72,17.10,64.00,7.50,29.32,30.14,3144.25,,
0.089173841,4/12/2017,7,0.00,10,8.46,5.74,80.00,0.24,29.59,30.39,722.5,,
0.347305358,11/5/2016,7,0.00,9.88,5.68,5.12,86.12,2.68,29.62,30.42,98.88,,
0.208861575,11/26/2016,8,0.00,4.36,1.97,2.24,93.80,5.64,29.59,30.39,1421.25,,
0.061773385,8/20/2016,15,0.65,10,25.20,20.79,73.36,15.08,28.9,29.69,1950.25,,
0.408548204,8/22/2017,7,0.99,7,20.67,20.90,98.92,3.40,29.13,29.92,145.35,,
0.524949696,11/16/2016,11,0.00,10,14.16,8.17,65.84,0.96,29.16,29.95,3853.5,,
0.373191495,12/17/2016,13,1.00,3.42,-1.88,-2.38,94.08,10.07,28.92,29.71,371.25,,
0.352223551,12/28/2016,15,1.00,10,4.93,0.88,71.00,8.64,29.06,29.85,46.08,,
0.718071883,4/14/2016,8,0.00,10,10.09,1.99,56.12,8.84,29.46,30.26,1516,,
0.095304885,6/24/2017,12,0.55,10,23.60,10.51,44.28,17.88,29.27,30.06,1377.5,,
0.193746236,6/26/2017,10,0.42,10,22.08,6.66,36.52,14.64,29.36,30.16,1293.5,,
0.454166931,3/11/2017,9,0.00,10,-2.79,-16.69,32.92,7.72,29.69,30.49,3099.75,,
0.492066762,2/18/2017,11,0.00,10,16.66,5.66,47.52,12.44,28.99,29.78,3208.5,,
0.64107816,4/1/2016,6,1.00,10,5.93,5.03,90.54,3.38,28.91,29.7,2.9,,
0.276677334,11/10/2016,8,0.00,10,6.24,4.08,78.20,8.96,29.43,30.23,2268.25,,
0.92843572,10/14/2016,10,0.00,10,16.15,7.93,54.88,10.00,29.46,30.26,3487,,
0.226062895,7/8/2016,6,0.00,10,22.45,22.22,94.92,5.12,29.1,29.89,345.25,,
0.710930458,1/28/2017,17,1.00,10,0.72,-2.32,79.31,11.61,29.04,29.83,0,,
0.21350604,3/3/2017,11,0.28,10,-0.16,-8.56,52.12,10.04,29.83,30.64,4682.5,,
0.448769694,8/14/2017,16,0.90,10,28.03,18.62,52.44,5.56,29.04,29.83,1990.25,,
0.772705914,12/4/2016,14,1.00,0.7,0.51,0.73,98.53,5.83,29.1,29.9,20.45,,
0.029685021,5/15/2017,13,0.00,10,29.51,12.72,33.12,12.04,29.13,29.92,4592.25,,
0.203567558,7/27/2016,8,0.00,10,25.05,21.10,79.00,7.00,29.21,30.03,2000.25,,
0.192999924,7/3/2016,7,1.00,4.2,15.41,14.70,93.32,6.48,29.31,30.1,191.73,,
0.815920803,2/6/2016,10,0.00,9.92,1.93,-1.72,75.16,8.04,29.51,30.31,3987.75,,
0.298526331,4/24/2017,12,0.00,10,23.27,-1.20,19.36,8.32,29.11,29.9,4591,,
0.757502646,5/19/2017,12,1.00,10,14.51,12.94,89.88,10.00,29.21,30,1571,,
0.439170857,2/8/2016,16,1.00,4.42,-5.20,-7.21,82.00,14.88,28.99,29.78,183,,
0.288732263,5/2/2016,8,1.00,9.04,9.20,7.65,88.88,14.36,29.22,30.01,643,,
0.271109533,6/8/2017,12,0.00,10,25.79,7.35,29.64,2.56,29.19,29.98,4711,,
0.383566105,12/13/2016,7,0.14,6.98,-1.37,-2.39,29.90,4.32,10.73,30.11,3.5,,
0.160066475,4/17/2017,9,0.00,10,17.13,4.58,41.84,8.40,29.39,30.19,2425.25,,
0.182238732,3/21/2017,13,1.00,10,12.42,2.17,49.48,15.68,29.41,30.21,1599.5,,
0.011297494,6/29/2017,7,0.03,10,24.99,19.36,68.28,9.80,29.07,29.86,253.75,,
0.289178306,7/12/2016,12,0.44,10,29.29,23.90,70.00,16.00,29.05,29.87,3923.75,,
0.301642791,1/4/2017,17,0.00,10,-7.50,-11.74,70.88,12.40,29.3,30.09,0,,
0.997368551,9/6/2016,9,0.00,10,29.07,24.84,74.76,13.64,29.34,30.14,2681,,
0.099214903,3/22/2016,16,0.00,10,18.73,5.04,38.04,21.92,28.9,29.68,1729.5,,
0.412755315,1/14/2017,10,1.00,2.91,-0.42,-0.83,95.21,3.62,29.69,30.49,263.75,,
0.055553368,4/9/2017,9,0.00,10,19.00,9.34,50.28,23.12,29.05,29.84,2762.25,,
0.617039601,5/26/2017,11,0.00,10,23.58,17.08,66.88,16.72,29.01,29.8,3562.25,,
0.131402121,5/15/2016,7,0.00,10,9.14,3.56,68.12,14.00,29.34,30.13,1083.25,,
0.663331948,4/14/2016,15,0.00,10,20.00,0.12,25.24,14.08,29.35,30.14,2801,,
0.404732759,10/2/2016,13,0.91,10,21.01,13.94,60.60,6.36,29.27,30.06,3200.25,,
0.039247856,8/4/2016,13,0.41,10,30.18,22.98,57.88,2.67,29.17,29.96,3486.5,,
0.543016496,11/19/2016,16,0.74,10,2.64,-3.75,62.68,16.00,29.5,30.3,29,,
0.46980442,10/21/2016,13,0.84,10,13.38,4.43,52.84,10.00,29.35,30.14,1806,,
0.133970847,4/17/2016,8,0.00,10,20.47,8.00,44.96,5.76,29.6,30.4,2185.5,,
0.303002718,4/21/2016,6,1.00,3.64,15.06,14.97,97.00,5.93,29.07,29.86,33.04,,
0.944090767,7/25/2017,9,0.00,10,23.40,17.04,66.52,8.04,29.39,30.19,3210,,
0.393375505,3/17/2016,9,0.00,10,11.27,1.59,50.64,14.00,29.15,29.94,3004.25,,
0.178408881,10/15/2017,6,1.00,5.83,16.60,15.68,94.70,20.66,29.09,29.88,0,,
0.776634458,10/31/2016,9,0.00,10,11.69,8.95,82.88,10.48,29.34,30.14,1785.5,,
0.612117465,5/17/2017,17,0.50,2.92,26.74,15.44,47.40,31.52,28.91,29.69,1621,,
0.021739944,3/24/2016,16,1.00,10,7.36,5.74,85.19,20.84,28.83,29.61,286.48,,
0.303927634,10/26/2017,8,0.00,10,6.45,4.09,84.76,7.72,29.08,29.87,1240.75,,
0.199561987,5/6/2016,10,0.00,10,20.51,4.10,31.92,8.88,29.24,30.03,3942.25,,
0.477075203,3/6/2016,8,0.00,6.2,2.46,0.33,82.60,11.88,29.47,30.27,2532.5,,
0.816876495,9/14/2016,12,0.64,10,25.50,19.40,68.44,4.40,29.4,30.2,2959.25,,
0.864450887,3/30/2016,15,1.00,5.21,12.45,11.63,92.58,19.19,28.96,29.76,65.75,,
0.551549525,3/26/2016,11,0.00,10,11.70,4.25,62.04,9.32,29.34,30.13,4634.5,,
0.050573148,4/19/2017,8,0.00,10,21.37,17.01,21.89,14.00,8.53,30.07,0,,
0.728069996,6/26/2016,10,0.69,10,29.77,24.05,73.68,6.44,29.27,30.06,3063,,
0.802509702,5/1/2016,11,1.00,5.72,14.67,12.86,90.12,6.92,29.17,29.96,980.75,,
0.503713945,5/17/2016,13,1.00,10,14.30,8.67,64.56,6.52,29.39,30.19,1416.75,,
0.498321791,9/28/2017,14,0.00,10,22.54,9.93,43.84,8.00,29.35,30.14,4045.25,,
0.143820301,3/30/2017,11,1.00,6.95,15.55,13.89,92.15,12.18,28.79,29.57,939,,
0.585530839,8/8/2016,8,0.44,10,22.62,18.92,79.22,6.89,29.24,30.03,1762.75,,
