DATE,HourlyDewPointTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySkyConditions,HourlyVisibility,HourlyDryBulbTemperature,HourlyWetBulbTemperature
2015-01-06T14:51:00,31,0.00,70,CLR:00,8.00,40,36
2015-01-06T15:51:00,32,0.00,76,CLR:00,9.00,39,36
2015-01-06T16:51:00,31,0.00,76,CLR:00,8.00,38,35
2015-01-06T17:51:00,30,0.00,79,CLR:00,9.00,36,33
2015-01-06T18:51:00,29,0.00,88,CLR:00,7.00,32,31
2015-01-06T19:51:00,29,0.00,88,CLR:00,7.00,32,31
2015-01-06T20:51:00,26,0.00,89,CLR:00,5.00,29,28
2015-01-06T21:51:00,25,0.00,88,CLR:00,5.00,28,27
2015-01-06T22:51:00,25,0.00,92,CLR:00,5.00,27,26
2015-01-06T23:51:00,24,0.00,92,CLR:00,3.00,26,25
2015-01-06T23:59:00,,,,,,,
2015-01-07T00:39:00,23,,92,CLR:00,2.50V,25,24
2015-01-07T00:49:00,23,,86,CLR:00,3.00,27,26
2015-01-07T00:51:00,23,0.00,88,CLR:00,3.00,26,25
2015-01-07T01:20:00,24,,92,CLR:00,2.50,26,25
2015-01-07T01:29:00,24,,92,CLR:00,3.00,26,25
2015-01-07T01:44:00,24,,96,CLR:00,2.50,25,25
2015-01-07T01:49:00,23,,93,VV:09 5,1.00,25,24
2015-01-07T01:51:00,23,0.00,92,VV:09 5,0.75,25,24
2015-01-07T01:59:00,24,,92,FEW:02 5,1.25,26,25
2015-01-07T02:05:00,24,,92,CLR:00,2.00,26,25
2015-01-07T02:13:00,25,,92,FEW:02 6,2.00,27,26
2015-01-07T02:51:00,22,0.00,88,CLR:00,2.50,25,24
2015-01-07T03:10:00,22,,88,CLR:00,1.75,25,24
2015-01-07T03:18:00,23,,92,CLR:00,0.50,25,24
2015-01-07T03:29:00,22,,91,VV:09 3,0.50,24,23
2015-01-07T03:40:00,22,,91,SCT:04 3,1.50,24,23
2015-01-07T03:42:00,22,,88,SCT:04 3,3.00,25,24
2015-01-07T03:51:00,23,0.00,92,SCT:04 3,4.00,25,24
2015-01-07T04:39:00,21,,96,CLR:00,1.50,22,22
