Month, Day, HourofDay, Weekend ,Load
10,19,10,0,-2.8964665832638397
10,19,11,0,-4.928763847650884
10,19,12,0,-7.242328396331185
10,19,13,0,-8.293125534870986
10,19,14,0,-7.818491136742643
10,19,15,0,-8.612647816411714
10,19,16,0,-7.183112085070911
10,19,17,0,-4.927792428452459
10,19,18,0,-0.98849088635727
10,19,19,0,3.150475454292864
10,19,20,0,3.4779570769658164
10,19,21,0,4.185764342507661
10,19,22,0,3.8907802473596482
10,19,23,0,3.2430221329255504
10,20,00,1,3.5475641217343417
10,02,01,0,7.454863322212931
10,02,02,0,7.708774162493122
10,02,03,0,7.714575548763251
10,02,04,0,8.792676753752259
10,02,05,0,5.808609258127292
10,02,06,0,3.911818406562852
10,02,07,0,3.6777125889878004
10,02,08,0,3.3139557988330006
10,02,09,0,4.857280305980567
10,02,10,0,0.6233916259032867
10,02,11,0,3.863573732962373
10,02,12,0,7.959935468446016
10,02,13,0,14.632246888209181
10,02,14,0,20.20093173659317
10,02,15,0,6.9644282189496645
10,02,16,0,12.503253731591956
10,02,17,0,6.039211471488169
10,02,18,0,8.846973555740734
10,02,19,0,11.398475584884364
10,02,20,0,11.11288130882753
10,02,21,0,9.58619249513759
10,02,22,0,8.656484759655497
10,02,23,0,7.992526988052276
10,03,00,0,8.426595025027838
10,20,01,1,3.658752981383696
10,20,02,1,3.5505664627363993
10,20,03,1,3.504774631637439
10,20,04,1,3.689646811231629
10,20,05,1,3.7339321496107396
10,20,06,1,3.6919286909394353
10,20,07,1,3.7155602696691172
10,20,08,1,3.6544494438265063
10,20,09,1,1.7279230147263265
10,20,10,1,-3.908491498470978
10,20,11,1,-7.865247571547486
10,20,12,1,-9.802116895497438
10,20,13,1,-11.003498626251579
10,20,14,1,-11.489829285515619
10,20,15,1,-11.543298899388605
10,20,16,1,-8.983279080044323
10,20,17,1,-7.3546034491383665
10,20,18,1,-2.956373792720289
10,20,19,1,2.2592939916550825
10,20,20,1,3.1108778587319477
10,20,21,1,3.338070205726959
10,20,22,1,3.2948271587434426
10,20,23,1,3.38170933314805
10,21,00,1,3.707371317548716
10,21,01,1,3.288441645815964
10,21,02,1,4.027403401889866
10,21,03,1,3.5443601668984845
10,21,04,1,3.676189072939854
10,21,05,1,3.6514958838242952
10,21,06,1,3.7713397246941183
10,21,07,1,3.6837181328146613
10,21,08,1,3.572730992769709
10,21,09,1,1.7710750514317979
10,21,10,1,-3.796414422809455
10,21,11,1,-6.903633362044872
10,21,12,1,-9.418793889969328
10,21,13,1,-11.120535734149197
10,21,14,1,-11.942510116763895
10,21,15,1,-10.928121964980408
10,21,16,1,-5.6962271492080845
10,21,17,1,-2.4518576647205985
10,21,18,1,1.6672828850446266
10,21,19,1,2.8915355660639346
10,21,20,1,3.0751937030858936
10,21,21,1,4.701558775396657
10,21,22,1,4.000238464961155
10,21,23,1,3.243617887128134
10,22,00,0,3.231195802503448
10,22,01,0,3.180573820505635
10,22,02,0,3.4256074145121223
10,22,03,0,3.2019461968306686
10,22,04,0,3.1954110647762426
10,22,05,0,3.505965931072821
10,22,06,0,3.40917121557717
10,22,07,0,3.3266361724617464
10,22,08,0,3.387006814011698
10,22,09,0,1.8950293021962423
10,22,10,0,-0.9123895410292043
10,22,11,0,-2.0084804115684136
10,22,12,0,-4.96535647679911
10,22,13,0,-6.32736693525993
10,22,14,0,-6.7032137903226205
10,22,15,0,-6.781360016671254
10,22,16,0,-4.372445676576821
10,22,17,0,3.757172592386768
10,22,18,0,5.075575754795611
10,22,19,0,5.416471537392296
10,22,20,0,4.975517789824807
10,22,21,0,3.006740764526014
10,22,22,0,3.2518595802056787
10,22,23,0,5.404411652294919
10,23,00,0,4.075831289605389
10,23,01,0,3.5918140728384804
10,23,02,0,3.485970795107081
10,23,03,0,3.702406446235038
10,23,04,0,3.368971312934646
10,23,05,0,3.677891745899362
10,23,06,0,3.5288161172873354
10,23,07,0,3.6500728495674344
10,23,08,0,5.266907506948332
10,23,09,0,6.028733352842741
10,23,10,0,5.912557363156353
10,23,11,0,8.234012072797935
10,23,12,0,5.269616874131655
10,23,13,0,3.8062573853849178
10,23,14,0,4.690029933314735
10,23,15,0,-0.9785582356209979
10,23,16,0,4.787358399555399
10,23,17,0,4.745894209502651
10,23,18,0,3.704664526257341
10,23,19,0,9.167136665740442
10,23,20,0,8.077764802558322
10,23,21,0,6.4455097581318
10,23,22,0,5.311971916550715
10,23,23,0,5.358251659716337
10,24,00,0,5.428868996385885
10,24,01,0,5.72526728182332
10,24,02,0,5.554787520155718
10,24,03,0,5.705494940261144
10,24,04,0,5.478799616346908
10,24,05,0,5.685546809338569
10,24,06,0,5.710721322589579
10,24,07,0,5.561281595774275
10,24,08,0,5.43240485396384
10,24,09,0,4.504596602724447
10,24,10,0,0.9169834362827003
10,24,11,0,1.1656407279799752
10,24,12,0,-1.615528320822899
10,24,13,0,-3.6135283616132736
10,24,14,0,-5.052101700472289
10,24,15,0,-5.443833637121483
10,24,16,0,-5.601976398999648
10,24,17,0,-1.8892545068074287
10,24,18,0,3.1702648513475875
10,24,19,0,7.767654276187837
10,24,20,0,8.156874822123322
10,24,21,0,5.736441715318499
10,24,22,0,5.59322887652955
10,24,23,0,5.674102002224735
10,25,00,0,5.714530578259623
10,25,01,0,5.875001778458224
10,25,02,0,5.786523531701928
10,25,03,0,5.862624877641866
10,25,04,0,5.8008725792105995
10,25,05,0,5.765485386325771
10,25,06,0,5.858774205399383
10,25,07,0,6.060340244512375
